little,large,fire,death,coin,enemy_defeated,jump,run,duck,left,right,Time,PlayerID,Episode
1,0,0,0,0,0,0,0,0,0,0,0,0007113,1
1,0,0,0,0,0,0,0,0,0,0,0,0007113,1
1,0,0,0,0,0,1,0,0,0,0,59,0007113,1
1,0,0,0,0,0,0,0,0,0,0,71,0007113,1
1,0,0,0,0,0,1,0,0,0,0,74,0007113,1
1,0,0,0,1,0,1,0,0,0,0,83,0007113,1
1,0,0,0,0,0,0,0,0,0,0,83,0007113,1
1,0,0,0,0,0,0,1,0,0,0,84,0007113,1
1,0,0,0,0,0,0,0,0,0,0,88,0007113,1
1,0,0,0,0,0,1,0,0,0,0,106,0007113,1
1,0,0,0,0,0,0,0,0,0,0,118,0007113,1
0,0,0,0,0,0,0,0,0,0,0,119,0007113,1
0,0,0,0,1,0,0,0,0,0,0,120,0007113,1
0,0,0,1,0,0,0,0,0,0,0,136,0007113,1
1,0,0,0,0,0,0,0,0,0,0,137,0007113,1
1,0,0,0,0,0,0,0,0,0,0,137,0007113,1
1,0,0,0,0,0,0,0,0,0,1,160,0007113,1
1,0,0,0,1,0,0,0,0,0,1,175,0007113,1
1,0,0,0,0,0,1,0,0,0,1,197,0007113,1
1,0,0,0,0,0,1,0,0,0,1,204,0007113,1
1,0,0,0,0,0,0,0,0,0,1,213,0007113,1
1,0,0,0,0,0,0,0,0,1,1,223,0007113,1
1,0,0,0,0,0,1,0,0,1,1,235,0007113,1
1,0,0,0,0,0,0,0,0,1,1,243,0007113,1
1,0,0,0,0,0,0,0,0,1,1,244,0007113,1
1,0,0,0,0,0,1,0,0,1,1,252,0007113,1
1,0,0,0,0,0,0,0,0,1,1,262,0007113,1
1,0,0,0,0,0,0,0,0,1,0,262,0007113,1
1,0,0,0,0,0,1,0,0,1,0,272,0007113,1
1,0,0,0,0,0,0,0,0,1,0,280,0007113,1
1,0,0,0,0,0,1,0,0,1,0,284,0007113,1
1,0,0,0,0,0,0,0,0,1,0,298,0007113,1
1,0,0,0,0,0,0,0,0,1,0,306,0007113,1
1,0,0,0,0,0,1,0,0,1,0,313,0007113,1
1,0,0,0,0,0,0,0,0,1,0,321,0007113,1
1,0,0,0,0,0,0,0,0,1,1,325,0007113,1
1,0,0,0,0,0,1,0,0,1,1,327,0007113,1
1,0,0,0,0,0,0,0,0,1,1,335,0007113,1
1,0,0,0,0,0,0,0,0,1,1,338,0007113,1
1,0,0,0,0,0,1,0,0,1,1,343,0007113,1
1,0,0,0,0,0,1,0,0,0,1,346,0007113,1
1,0,0,0,0,0,0,0,0,0,1,351,0007113,1
1,0,0,0,0,0,1,0,0,0,1,356,0007113,1
1,0,0,0,0,0,0,0,0,0,1,364,0007113,1
1,0,0,0,0,0,0,0,0,0,1,366,0007113,1
1,0,0,0,0,0,0,0,0,0,0,389,0007113,1
1,0,0,0,0,0,0,0,0,0,0,390,0007113,1
1,0,0,0,0,0,0,0,0,0,0,407,0007113,1
1,0,0,0,0,0,0,0,0,0,0,408,0007113,1
0,1,0,0,0,0,0,0,0,0,0,410,0007113,1
0,1,0,0,0,0,0,0,0,0,0,410,0007113,1
0,1,0,0,0,0,0,0,0,0,1,430,0007113,1
0,1,0,0,0,0,0,0,0,0,1,437,0007113,1
0,1,0,0,0,0,1,0,0,0,1,438,0007113,1
0,1,0,0,0,0,1,0,0,0,1,439,0007113,1
0,1,0,0,0,0,1,0,0,0,1,441,0007113,1
0,1,0,0,0,0,1,0,0,0,0,442,0007113,1
0,1,0,0,0,0,1,0,0,0,0,443,0007113,1
0,1,0,0,0,0,1,0,0,0,0,445,0007113,1
0,1,0,0,0,0,1,0,1,0,0,452,0007113,1
0,1,0,0,0,0,0,0,1,0,0,452,0007113,1
0,1,0,0,0,0,0,0,0,0,0,458,0007113,1
0,1,0,0,0,0,0,0,0,0,0,465,0007113,1
0,1,0,0,0,0,0,0,0,0,1,498,0007113,1
0,1,0,0,0,0,0,0,0,0,0,500,0007113,1
0,1,0,0,0,0,1,0,0,0,0,528,0007113,1
0,1,0,0,0,0,1,0,0,0,1,535,0007113,1
0,1,0,0,0,0,0,0,0,0,1,540,0007113,1
0,1,0,0,0,0,0,0,1,0,1,544,0007113,1
0,1,0,0,0,0,0,0,0,0,1,547,0007113,1
0,1,0,0,0,0,1,0,0,0,1,554,0007113,1
0,1,0,0,0,0,0,0,0,0,1,570,0007113,1
0,1,0,0,0,0,0,0,0,0,0,583,0007113,1
0,1,0,0,0,0,1,0,0,0,0,586,0007113,1
0,1,0,0,0,0,1,0,0,0,1,588,0007113,1
0,1,0,0,0,0,1,0,0,0,1,590,0007113,1
0,1,0,0,0,0,1,0,0,0,1,592,0007113,1
0,1,0,0,0,0,1,0,0,0,0,593,0007113,1
